danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.785,0.625,1,-6.633,0,0.0304,0.402,0,0.155,0.44,125.918,audio_features,6xZg0R1glZo22QQ7JNJXfL,spotify:track:6xZg0R1glZo22QQ7JNJXfL,https://api.spotify.com/v1/tracks/6xZg0R1glZo22QQ7JNJXfL,https://api.spotify.com/v1/audio-analysis/6xZg0R1glZo22QQ7JNJXfL,158171,4
0.484,0.625,9,-8.202,0,0.0599,0.0436,0.000535,0.733,0.567,78.314,audio_features,6KbrWoZUPQHdeYhmshBfmo,spotify:track:6KbrWoZUPQHdeYhmshBfmo,https://api.spotify.com/v1/tracks/6KbrWoZUPQHdeYhmshBfmo,https://api.spotify.com/v1/audio-analysis/6KbrWoZUPQHdeYhmshBfmo,194676,4
0.846,0.625,9,-8.591,1,0.401,0.0158,0,0.151,0.426,137.013,audio_features,1sMHzstQaNVKqGmeDHPWNt,spotify:track:1sMHzstQaNVKqGmeDHPWNt,https://api.spotify.com/v1/tracks/1sMHzstQaNVKqGmeDHPWNt,https://api.spotify.com/v1/audio-analysis/1sMHzstQaNVKqGmeDHPWNt,171729,4
0.756,0.625,6,-4.133,1,0.0624,0.0132,0,0.0511,0.613,100.014,audio_features,3aebnZQCwO3RmZpCnv1pOO,spotify:track:3aebnZQCwO3RmZpCnv1pOO,https://api.spotify.com/v1/tracks/3aebnZQCwO3RmZpCnv1pOO,https://api.spotify.com/v1/audio-analysis/3aebnZQCwO3RmZpCnv1pOO,175781,4
0.774,0.625,8,-5.266,1,0.347,0.224,0,0.149,0.107,160.016,audio_features,2jR4FYVEUWS7AVLQpE62Dx,spotify:track:2jR4FYVEUWS7AVLQpE62Dx,https://api.spotify.com/v1/tracks/2jR4FYVEUWS7AVLQpE62Dx,https://api.spotify.com/v1/audio-analysis/2jR4FYVEUWS7AVLQpE62Dx,192052,4
0.498,0.625,8,-7.105,1,0.0569,0.194,1.35E-06,0.122,0.761,77.857,audio_features,7AbYBJVEUT1M9uM1VdbkVc,spotify:track:7AbYBJVEUT1M9uM1VdbkVc,https://api.spotify.com/v1/tracks/7AbYBJVEUT1M9uM1VdbkVc,https://api.spotify.com/v1/audio-analysis/7AbYBJVEUT1M9uM1VdbkVc,174512,4
0.833,0.625,11,-6.621,1,0.407,0.18,0,0.303,0.395,124.881,audio_features,0pBaJ5F2y0jXBE62FOwgMj,spotify:track:0pBaJ5F2y0jXBE62FOwgMj,https://api.spotify.com/v1/tracks/0pBaJ5F2y0jXBE62FOwgMj,https://api.spotify.com/v1/audio-analysis/0pBaJ5F2y0jXBE62FOwgMj,142132,4
0.89,0.625,8,-4.702,1,0.0496,0.128,5.26E-05,0.0976,0.508,105.011,audio_features,1XMAH98Q6BOhRnUDyYHqVy,spotify:track:1XMAH98Q6BOhRnUDyYHqVy,https://api.spotify.com/v1/tracks/1XMAH98Q6BOhRnUDyYHqVy,https://api.spotify.com/v1/audio-analysis/1XMAH98Q6BOhRnUDyYHqVy,215365,4
0.714,0.625,1,-13.885,1,0.343,0.0979,2.05E-06,0.0919,0.627,136.117,audio_features,5tbUdCgWeH0Al3LqJBJ1iy,spotify:track:5tbUdCgWeH0Al3LqJBJ1iy,https://api.spotify.com/v1/tracks/5tbUdCgWeH0Al3LqJBJ1iy,https://api.spotify.com/v1/audio-analysis/5tbUdCgWeH0Al3LqJBJ1iy,135941,4
0.756,0.625,6,-4.133,1,0.0624,0.0132,0,0.0511,0.613,100.014,audio_features,1CT5nZsIv38l1vCwKUwN4T,spotify:track:1CT5nZsIv38l1vCwKUwN4T,https://api.spotify.com/v1/tracks/1CT5nZsIv38l1vCwKUwN4T,https://api.spotify.com/v1/audio-analysis/1CT5nZsIv38l1vCwKUwN4T,175781,4
